 NUMBER     AGNF50_AGN
      J              E
                      
 141030           NULL
 141084           NULL
 141220           NULL
 141318           NULL
 141350           NULL
 141427           NULL
 141485           NULL
 141520           NULL
 141557           NULL
 141567           NULL
 141594           NULL
 141610           NULL
 141624           NULL
 141636           NULL
 141665           NULL
 141695           NULL
 141776           NULL
 141986           NULL
 142007           NULL
 142100           NULL
 142143           NULL
 142193           NULL
 142194           NULL
 142203           NULL
 142229           NULL
 142272           NULL
 142482           NULL
 142607           NULL
 142635           NULL
 142667           NULL
 142691           NULL
 142795           NULL
 142843           NULL
 142847           NULL
 142997           NULL
 142999           NULL
 143116           NULL
 143193           NULL
 143202           NULL
 143308           NULL
 143320           NULL
 143392           NULL
 143431           NULL
 143450           NULL
 143491           NULL
 143528           NULL
 143556           NULL
 143640           NULL
 143643           NULL
 143648           NULL
 143681           NULL
 143754           NULL
 143858           NULL
 143914           NULL
 143941           NULL
 143991           NULL
 144007           NULL
 144035           NULL
 144046           NULL
 144048           NULL
 144051           NULL
 144113           NULL
 144146           NULL
 144155           NULL
 144186           NULL
 144207           NULL
 144212           NULL
 144293           NULL
 144381           NULL
 144387           NULL
 144488           NULL
 144494           NULL
 144626           NULL
 144661           NULL
 144662           NULL
 144667           NULL
 144688           NULL
 144698           NULL
 144702           NULL
 144781           NULL
 144797           NULL
 144806           NULL
 144810           NULL
 144824           NULL
 144852           NULL
 144873           NULL
 144875           NULL
 144913           NULL
 144945           NULL
 145004           NULL
 145131           NULL
 145143           NULL
 145147           NULL
 145159           NULL
 145189           NULL
 145191           NULL
 145252           NULL
 145363           NULL
 145367           NULL
 145459           NULL
 145493           NULL
 145532           NULL
 145561           NULL
 145579           NULL
 145581           NULL
 145661           NULL
 145710           NULL
 145752           NULL
 145789           NULL
 145797           NULL
 145820           NULL
 145870           NULL
 145978           NULL
 146013           NULL
 146014           NULL
 146048           NULL
 146075           NULL
 146136           NULL
 146153           NULL
 146166           NULL
 146167           NULL
 146304           NULL
 146317           NULL
 146355           NULL
 146408           NULL
 146425           NULL
 146427           NULL
 146470           NULL
 146474           NULL
 146508           NULL
 146516           NULL
 146572           NULL
 146613           NULL
 146627           NULL
 146632           NULL
 146637           NULL
 146687           NULL
 146735           NULL
 146748           NULL
 146779           NULL
 146863           NULL
 146905           NULL
 146945           NULL
 146994           NULL
 146995           NULL
 147060           NULL
 147085           NULL
 147168           NULL
 147194           NULL
 147228           NULL
 147231           NULL
 147232           NULL
 147332           NULL
 147363           NULL
 147411           NULL
 147422           NULL
 147424           NULL
 147454           NULL
 147465           NULL
 147481           NULL
 147490           NULL
 147492           NULL
 147506           NULL
 147546           NULL
 147575           NULL
 147595           NULL
 147642           NULL
