#ID 	 Flag 
# 888 = AGN 	 111 = SFG 


6       111  
7       111  
8       111  
19      111  
20      111  
25      111  
26      111  
30      111  
37      111  
38      111  
42      111  
54      111  
55      111  
59      111  
62      111  
67      111  
68      111  
70      111  
72      111  
73      111  
87      888  
96      111  
106     111  
110     111  
113     111  
115     111  
120     111  
125     111  
130     111  
134     111  
137     111  
146     111  
172     111  
185     111  
186     111  
187     111  
200     111  
214     111  
220     111  
228     111  
243     111  
270     111  
273     111  
276     111  
278     111  
280     111  
281     111  
283     111  
290     111  
298     111  
304     111  
305     111  
310     111  
324     111  
325     888  
335     111  
340     111  
346     111  
347     111  
352     111  
357     111  
377     111  
380     111  
383     111  
394     111  
399     111  
412     111  
415     111  
428     111  
434     111  
445     111  
449     111  
453     111  
457     111  
460     111  
486     111  
487     111  
493     111  
496     111  
502     888  
504     111  
509     111  
510     111  
511     111  
513     111  
515     111  
518     111  
523     111  
524     111  
532     111  
533     111  
543     111  
544     111  
545     888  
551     111  
552     111  
553     111  
555     111  
561     111  
562     111  
566     111  
567     888  
572     111  
575     111  
578     111  
579     111  
581     111  
582     111  
587     111  
602     111  
610     111  
616     111  
621     111  
629     111  
630     111  
631     111  
634     111  
644     888  
654     111  
658     111  
679     111  
680     111  
684     111  
687     111  
696     111  
703     111  
724     111  
725     111  
728     111  
741     111  
750     888  
756     111  
757     111  
758     111  
765     111  
770     111  
775     111  
777     111  
794     111  
801     111  
803     111  
817     111  
824     111  
828     111  
832     111  
834     111  
836     111  
849     111  
852     111  
853     111  
854     111  
856     111  
864     111  
865     888  
874     111  
875     111  
886     111  
889     111  
898     111  
899     111  
902     111  
906     888  
910     111  
913     111  
915     111  
919     111  
928     111  
934     111  
941     111  
942     111  
944     111  
947     111  
948     111  
953     111  
961     111  
963     111  
968     888  
969     111  
977     111  
984     111  
998     111  
1000    111  
1007    111  
1013    111  
1022    111  
1023    111  
1031    111  
1038    111  
1047    111  
1051    111  
1054    111  
1055    111  
1056    111  
1058    111  
1060    111  
1074    111  
1091    111  
1092    111  
1094    111  
1099    111  
1100    111  
1105    111  
1106    111  
1110    111  
1115    111  
1120    111  
1129    111  
1130    111  
1131    111  
1136    111  
1138    111  
1141    111  
1143    111  
1145    111  
1157    111  
1167    111  
1178    111  
1179    111  
1180    111  
1190    111  
1194    111  
1200    111  
1212    111  
1215    111  
1226    111  
1232    111  
1235    111  
1239    111  
1242    111  
1247    111  
1253    111  
1265    111  
1266    111  
1269    111  
1272    111  
1276    111  
1281    111  
1283    111  
1285    111  
1286    111  
1287    111  
1298    111  
1300    111  
1301    111  
1307    111  
1312    111  
1315    111  
1316    111  
1320    111  
1322    111  
1324    111  
1331    111  
1333    111  
1334    111  
1337    111  
1339    111  
1346    111  
1349    111  
1350    111  
1355    111  
1356    111  
1357    111  
1359    111  
1365    888  
1369    111  
1377    111  
1380    111  
1390    111  
1393    111  
1395    111  
1396    888  
1399    111  
1409    111  
1424    111  
1429    111  
1433    111  
1441    111  
1443    111  
1445    111  
1446    111  
1447    111  
1449    111  
1452    111  
1462    111  
1465    111  
1469    111  
1470    111  
1474    111  
1485    111  
1491    111  
1493    111  
1496    111  
1501    111  
1516    111  
1520    111  
1535    111  
1540    111  
1549    111  
1550    111  
1560    111  
1566    111  
1568    111  
1572    111  
1580    111  
1581    111  
1586    111  
1588    111  
1589    888  
1592    111  
1594    111  
1598    111  
1599    111  
1602    111  
1603    111  
1604    111  
1606    111  
1608    111  
1612    111  
1614    111  
1615    111  
1616    111  
1617    111  
1618    111  
1627    111  
1632    111  
1640    111  
1643    111  
1650    111  
1651    111  
1652    111  
1658    111  
1667    111  
1673    111  
1674    111  
1676    111  
1677    111  
1684    111  
1685    111  
1688    111  
1694    111  
1700    111  
1702    111  
1707    111  
1710    111  
1711    111  
1712    111  
1714    111  
1715    111  
1717    111  
1719    888  
1721    111  
1726    111  
1727    111  
1728    111  
1743    111  
1749    111  
1752    111  
1753    111  
1754    111  
1755    111  
1761    111  
1762    111  
1767    111  
1777    111  
1778    111  
1780    111  
1781    111  
1784    111  
1787    111  
1792    888  
1794    111  
1797    111  
1806    111  
1811    111  
1815    111  
1821    111  
1825    111  
1827    111  
1834    111  
1841    111  
1845    111  
1855    111  
1858    111  
1862    111  
1865    111  
1868    111  
1890    111  
1894    111  
1895    111  
1896    111  
1897    111  
1900    111  
1901    111  
1904    111  
1915    111  
1916    111  
1920    111  
1921    888  
1925    111  
1935    111  
1936    111  
1937    111  
1938    111  
1941    111  
1944    111  
1947    111  
1948    111  
1953    111  
1954    888  
1960    111  
1962    111  
1965    111  
1966    111  
1970    111  
1977    111  
1978    111  
1981    111  
1982    111  
1997    111  
2003    111  
2005    111  
2010    111  
2011    111  
2014    111  
2016    111  
2021    111  
2033    111  
2036    111  
2039    111  
2043    111  
2057    111  
2060    111  
2063    111  
2066    111  
2067    111  
2069    111  
2075    111  
2080    111  
2085    111  
2088    111  
2089    111  
2093    111  
2103    111  
2110    111  
2114    111  
2123    111  
2124    111  
2139    111  
2141    111  
2144    111  
2151    111  
2156    111  
2164    111  
2173    111  
2177    111  
2185    111  
2190    111  
2213    111  
2225    111  
2231    111  
2233    111  
2238    111  
2241    111  
2244    111  
2245    111  
2247    111  
2253    111  
2265    111  
2266    888  
2270    111  
2274    111  
2277    111  
2280    111  
2283    111  
2285    111  
2292    111  
2296    111  
2298    111  
2304    111  
2305    111  
2312    111  
2316    111  
2323    111  
2335    111  
2337    111  
2338    111  
2339    111  
2348    111  
2349    111  
2366    111  
2372    111  
2377    111  
2379    111  
2381    111  
2387    111  
2390    111  
2405    111  
2406    111  
2413    111  
2419    111  
2422    111  
2433    111  
2438    111  
2441    111  
2442    111  
2443    111  
2446    111  
2449    111  
2451    111  
2458    111  
2459    111  
2463    111  
2466    111  
2470    111  
2472    111  
2473    111  
2478    111  
2483    111  
2486    111  
2488    111  
2495    111  
2496    111  
2500    111  
2504    111  
2505    111  
2512    111  
2513    111  
2518    111  
2519    111  
2522    111  
2526    111  
2542    111  
2543    111  
2544    111  
2548    111  
2550    111  
2556    111  
2560    111  
2561    111  
2563    111  
2565    111  
2571    111  
2578    111  
2584    111  
2588    111  
2608    111  
2612    111  
2617    111  
2619    111  
2622    111  
2626    111  
2629    111  
2632    888  
2633    111  
2644    111  
2650    111  
2668    111  
2674    111  
2677    111  
2679    111  
2687    111  
2688    111  
2695    111  
2696    111  
2697    111  
2699    111  
2703    111  
2713    111  
2731    111  
2734    111  
2738    111  
2746    111  
2754    111  
2755    111  
2757    111  
2769    111  
2775    111  
2776    111  
2777    111  
2778    111  
2779    111  
2782    111  
2790    111  
2797    111  
2800    111  
2814    111  
2820    111  
2836    111  
2839    111  
2840    111  
2841    111  
2843    888  
2844    111  
2847    111  
2849    111  
2857    111  
2869    111  
2877    111  
2888    111  
2894    111  
2901    111  
2903    111  
2925    111  
2932    111  
2933    111  
2934    111  
2938    111  
2960    111  
2965    111  
2973    111  
2997    111  
3000    111  
3008    111  
3015    111  
3018    111  
3033    111  
3040    111  
3041    111  
3044    111  
3058    111  
3068    111  
3071    111  
3077    111  
3081    111  
3082    111  
3092    111  
3106    111  
3109    111  
3118    111  
3120    111  
3125    111  
3128    111  
3132    111  
3134    111  
3135    111  
3139    111  
3150    111  
3161    111  
3168    111  
3175    111  
3178    111  
3182    111  
3186    111  
3187    888  
3213    111  
3219    111  
3233    111  
3237    111  
3238    111  
3243    111  
3245    111  
3254    111  
3255    111  
3258    111  
3263    111  
3264    111  
3271    111  
3282    111  
3291    111  
3293    111  
3300    111  
3301    111  
3318    111  
3319    111  
3320    111  
3324    111  
3325    111  
3330    111  
3333    111  
3338    111  
3339    111  
3341    111  
