#NUMBER      ALPHA_J2000          DELTA_J2000
#ID              RA                  DEC
#                deg                 deg
 141030  1.499458553809E+002  1.500027213347E+000
 141084  1.500535072275E+002  1.500487697044E+000
 141220  1.501236799532E+002  1.499859052994E+000
 141318  1.502468331063E+002  1.499557063101E+000
 141350  1.503110284754E+002  1.499671190670E+000
 141427  1.498307470813E+002  1.500480897920E+000
 141485  1.503058864118E+002  1.500797060801E+000
 141520  1.496339511231E+002  1.500405053530E+000
 141557  1.496749828225E+002  1.499753117576E+000
 141567  1.496220660027E+002  1.501133065377E+000
 141594  1.505022650408E+002  1.499363229319E+000
 141610  1.503431840715E+002  1.499559990911E+000
 141624  1.503286285340E+002  1.500647450946E+000
 141636  1.497768942817E+002  1.499562985469E+000
 141665  1.497524489370E+002  1.500935054341E+000
 141695  1.498233931974E+002  1.500102434551E+000
 141776  1.505458207063E+002  1.499855464245E+000
 141986  1.505333664240E+002  1.499807230189E+000
 142007  1.501013472511E+002  1.500699575787E+000
 142100  1.499992697858E+002  1.501351578950E+000
 142143  1.501856529598E+002  1.501043460641E+000
 142193  1.502596513312E+002  1.500529644489E+000
 142194  1.501120800605E+002  1.501608961799E+000
 142203  1.499420089611E+002  1.500607020291E+000
 142229  1.500676269198E+002  1.500388625202E+000
 142272  1.502319138249E+002  1.500788048010E+000
 142482  1.496583811490E+002  1.500257672423E+000
 142607  1.501712235074E+002  1.500631125621E+000
 142635  1.497444535044E+002  1.500690806135E+000
 142667  1.501996311495E+002  1.502490318425E+000
 142691  1.504217837325E+002  1.500848882439E+000
 142795  1.501779748225E+002  1.501216818147E+000
 142843  1.503524610796E+002  1.501720090098E+000
 142847  1.499432873322E+002  1.500101300593E+000
 142997  1.504093185937E+002  1.501964171015E+000
 142999  1.505717331835E+002  1.502946331499E+000
 143116  1.500634715744E+002  1.502587565940E+000
 143193  1.503387522586E+002  1.499747317745E+000
 143202  1.504199996168E+002  1.501892635784E+000
 143308  1.496472553041E+002  1.501255148888E+000
 143320  1.501209557035E+002  1.501213993890E+000
 143392  1.505641381901E+002  1.501868412109E+000
 143431  1.499680452118E+002  1.503227755164E+000
 143450  1.505566618857E+002  1.502375258197E+000
 143491  1.503580986563E+002  1.499976864600E+000
 143528  1.499452242362E+002  1.502267709656E+000
 143556  1.506037630704E+002  1.502046707444E+000
 143640  1.497273294398E+002  1.500510186616E+000
 143643  1.501499165367E+002  1.502399216777E+000
 143648  1.498842478858E+002  1.502395177661E+000
 143681  1.503866985815E+002  1.499992808743E+000
 143754  1.502658321479E+002  1.503189578672E+000
 143858  1.498608261627E+002  1.503816790168E+000
 143914  1.496937676947E+002  1.503062199709E+000
 143941  1.498821836082E+002  1.504001618879E+000
 143991  1.506089754767E+002  1.499882580969E+000
 144007  1.497531364446E+002  1.503756624092E+000
 144035  1.503048448586E+002  1.504684061898E+000
 144046  1.499203229046E+002  1.502645822418E+000
 144048  1.499631374558E+002  1.503122508965E+000
 144051  1.499737520285E+002  1.501704214749E+000
 144113  1.505707550374E+002  1.501061517837E+000
 144146  1.500609164488E+002  1.503310766627E+000
 144155  1.499405895930E+002  1.504258911615E+000
 144186  1.497549136860E+002  1.503258057953E+000
 144207  1.500537096568E+002  1.502165476069E+000
 144212  1.505775620075E+002  1.502428931962E+000
 144293  1.505132147959E+002  1.504075285287E+000
 144381  1.504239968628E+002  1.502273342064E+000
 144387  1.502075019565E+002  1.501621612865E+000
 144488  1.506301247624E+002  1.501082654384E+000
 144494  1.498436490288E+002  1.501143970165E+000
 144626  1.506310831798E+002  1.502947830462E+000
 144661  1.503513409270E+002  1.501763064634E+000
 144662  1.500338401555E+002  1.504682676148E+000
 144667  1.502183370784E+002  1.504324404381E+000
 144688  1.505031783999E+002  1.502312078573E+000
 144698  1.501854102180E+002  1.502582718082E+000
 144702  1.499669966787E+002  1.504263977786E+000
 144781  1.502086340933E+002  1.500918107836E+000
 144797  1.497215044774E+002  1.504017623404E+000
 144806  1.495882819863E+002  1.502982328419E+000
 144810  1.496963467254E+002  1.502919680621E+000
 144824  1.501814527577E+002  1.503558862653E+000
 144852  1.498883622948E+002  1.503923241423E+000
 144873  1.502415421525E+002  1.504961024099E+000
 144875  1.498936492141E+002  1.504735978871E+000
 144913  1.505086024208E+002  1.503463033616E+000
 144945  1.495922959255E+002  1.502834077196E+000
 145004  1.502080842764E+002  1.505403985654E+000
 145131  1.501632321095E+002  1.502870086217E+000
 145143  1.503945098158E+002  1.500652177453E+000
 145147  1.501567872529E+002  1.500090207208E+000
 145159  1.497993211759E+002  1.501344054542E+000
 145189  1.499787040435E+002  1.504348164152E+000
 145191  1.499552882152E+002  1.501878839017E+000
 145252  1.499093899028E+002  1.504374836808E+000
 145363  1.503877453346E+002  1.503997541309E+000
 145367  1.503987891157E+002  1.505811786127E+000
 145459  1.499308488556E+002  1.505521927279E+000
