#1:ID 	 2:zbest 	 3:M_med 	 4:RA 	 5:DEC 	 6:IRAC_Ch1_FLUX 	 7:IRAC_Ch1_FLUXERR 	 8:IRAC_Ch2_FLUX 	 9:IRAC_Ch2_FLUXERR 	 10:IRAC_Ch3_FLUX 	 11:IRAC_Ch3_FLUXERR 	 12:IRAC_Ch4_FLUX 	 13:IRAC_Ch4_FLUXERR 	 14:f_IRAC_58 	 15:f_IRAC_80 	 16:f_MIPS24 	 17:f_MIPS70 	 18:f_MIPS160 	 19:f_PACS_100 	 20:f_PACS_160 	 21:f_SPIRE_250 	 22:f_SPIRE_350 	 23:f_SPIRE_500 


6       5.2236  9.64651   150.0556148    2.1745746      0.247185       0.233463       0.0946967      0.17553        -5.80744    3.80263     5.23624     3.7894      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
7       4.48    10.8959   150.0711723    2.1747719      10.1515        0.245343       6.33269        0.190216       -10.3519    4.93269     1.7685      5.45461     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
8       0.8027  9.57452   150.0709002    2.1747855      -1.20148       0.317822       1.22025        0.249901       7.53829     6.11463     4.16389     6.84348     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
19      2.27    9.52663   150.0771373    2.175643       1.21566        0.183178       1.54229        0.156496       0.0886324   4.345       -5.11996    4.28205     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
20      1.24    9.69289   150.0549903    2.1754014      4.09559        0.183271       4.16113        0.13852        2.32308     3.11674     6.69847     3.00655     0.0       0.0       81.511    0.0       0.0       1521.3    2026.6    0.0       0.0       0.0       
25      1.01    9.98124   150.0549898    2.1759011      10.829         0.187231       8.69165        0.13993        4.65169     3.25271     1.43026     3.00621     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
26      0.817   10.3595   150.0605723    2.1755824      18.9637        0.199111       13.0014        0.146157       5.77218     3.49897     1.49079     3.6673      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
30      0.271   9.92932   150.0690948    2.1753573      11.8244        0.168167       7.92068        0.131706       3.02508     3.3081      3.17892     3.67705     0.0       3.1791    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
37      0.58    10.9698   150.0575514    2.1748066      35.2695        0.189625       25.5198        0.141928       11.7075     3.36954     6.39016     3.23073     0.0       6.3905    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
38      1.928   10.5512   150.065864     2.1761045      7.3206         0.154537       10.2615        0.118547       6.07686     2.74307     6.91855     3.14899     0.0       0.0       193.38    0.0       0.0       0.0       0.0       0.0       12872.0   4838.8    
42      0.92    9.83851   150.0846001    2.1769101      6.92689        0.11954        5.42285        0.10856        2.11006     2.80552     -0.983601   2.7586      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
54      0.9489  9.51026   150.0976926    2.1781257      8.82977        0.114383       6.01218        0.120309       3.91997     3.64803     1.90889     3.19157     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
55      2.94    11.0009   150.0952085    2.1779633      5.81014        0.116409       8.65241        0.119252       9.73647     3.20184     7.65112     2.90241     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
59      1.5     10.9562   150.0970472    2.1779948      31.6761        0.116225       32.9154        0.120427       40.3403     3.31314     22.6972     3.24818     0.0       0.0       255.87    0.0       0.0       0.0       0.0       12190.0   15997.0   15586.0   
62      1.06    10.6647   150.0571343    2.1774997      31.2644        0.196532       30.5641        0.152854       9.9787      3.40328     19.1117     3.62455     0.0       0.0       257.76    0.0       0.0       4140.1    9559.6    14349.0   11997.0   0.0       
67      1.24    9.57968   150.0612146    2.1781188      3.72002        0.1771         2.67994        0.135113       3.70695     3.44206     1.38734     3.50143     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
68      0.894   9.73863   150.0702489    2.1781997      6.64913        0.14809        5.25038        0.11843        1.70668     2.94552     7.43122     3.52366     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
70      3.947   9.61153   150.0890496    2.1784694      0.68068        0.145788       0.707288       0.138403       0.0176258   3.62386     0.801656    3.51083     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
72      1.51    10.3221   150.0617733    2.1779264      6.87789        0.170285       8.24942        0.131001       4.04637     3.20487     2.24816     3.29452     0.0       0.0       110.57    0.0       0.0       0.0       0.0       0.0       0.0       0.0       
73      2.135   9.536     150.0864183    2.1778706      3.13724        0.119356       3.58214        0.111968       5.9419      2.81911     4.44125     2.7757      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
87      1.982   10.7722   150.1042142    2.1789081      8.57936        0.0999239      14.8951        0.105741       22.7161     2.81257     42.938      3.27417     0.0       0.0       292.97    0.0       0.0       1191.8    3354.2    0.0       0.0       0.0       
96      2.56    9.6052    150.1050587    2.1794949      0.60599        0.106002       0.667224       0.114317       -5.31442    2.89616     4.05342     3.2227      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
106     2.908   9.75247   150.097919     2.1796097      0.852714       0.174614       1.07362        0.182344       0.460788    4.64816     3.21073     4.69451     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
110     2.259   9.51181   150.0989622    2.1796415      1.84891        0.140262       1.68633        0.147567       0.773015    3.97486     3.53495     3.8147      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
113     1.777   9.87608   150.0850581    2.1795053      2.17429        0.135749       2.86346        0.125244       2.20725     3.22551     -0.298911   3.29264     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
115     0.936   9.55243   150.0846337    2.1793241      5.87635        0.141091       4.27897        0.130061       -0.759922   3.39069     9.02222     3.31213     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
120     2.022   9.76061   150.0825373    2.1788759      2.05447        0.208044       2.5507         0.183284       -1.90157    4.83449     -5.23504    4.77231     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
125     2.02    9.75162   150.1023779    2.1795006      3.34814        0.105265       3.52034        0.109265       2.74609     2.9848      3.17293     3.00142     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
130     0.97    10.248    150.0642302    2.1786473      19.8622        0.270393       16.3534        0.207134       23.1638     5.10039     4.62782     6.02661     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
134     0.9529  9.71547   150.1094771    2.1800379      5.82819        0.102318       4.47495        0.109148       4.86169     2.58343     3.82821     2.91917     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
137     0.78    9.75328   150.0687965    2.1798495      10.1967        0.154721       7.56974        0.124422       2.64588     3.03364     -1.11613    3.56111     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
146     2.04    10.3025   150.072858     2.1802467      4.44905        0.14984        5.64503        0.119604       5.25399     2.97825     5.33166     3.32889     0.0       0.0       135.4     0.0       0.0       0.0       0.0       0.0       0.0       0.0       
172     1.21    10.7758   150.0608375    2.1789153      27.036         0.172587       24.5995        0.130766       13.8856     3.1817      10.2539     3.27571     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
185     1.936   9.97234   150.0730022    2.1812181      4.37676        0.156747       5.17542        0.126771       6.8539      3.31264     1.07953     3.35232     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
186     1.374   10.1329   150.0707569    2.1814726      5.13056        0.199111       5.3419         0.153324       5.51837     3.73314     -0.197507   4.08745     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
187     0.973   9.60597   150.1143096    2.1812943      4.01676        0.14634        3.25411        0.150739       -4.8909     3.32321     0.552848    3.75143     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
200     0.509   11.0116   150.0809929    2.1799299      50.5711        0.129947       35.5944        0.11467        20.2062     3.00796     7.71884     2.97064     0.0       7.7193    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
