#ID 	 Full Lx 	 Soft Lx 	 Hard Lx 	 FlagAGN 
 # 888 = AGN 111 = SFG 


87      43.77129    42.79554    43.92682    888
335     43.78339    43.04651    43.8433     888
865     44.96544    44.23556    44.99429    888
947     44.51218    43.97116    44.28631    888
977     43.06696    -99.0       43.30405    888
1667    44.1039     43.52425    43.92866    888
1694    43.71062    42.95355    43.76842    888
2677    41.62163    40.77123    41.72659    111
3018    42.94274    42.34643    -99.0       888
3175    41.67906    -99.0       41.91651    111
3291    42.649      42.05106    -99.0       888
3508    43.7207     43.00085    43.71946    888
3605    44.38606    43.72605    44.22239    888
3618    43.76334    43.22706    43.4574     888
3671    43.73852    43.07807    -99.0       888
4051    41.24494    40.83166    -99.0       111
4072    43.66149    -99.0       -99.0       888
4092    42.98044    -99.0       42.98044    888
4473    43.57679    42.89913    -99.0       888
4477    44.23375    43.67868    44.00982    888
4490    44.4462     43.87403    44.24654    888
4874    43.72254    43.08316    43.60508    888
5528    44.0728     43.0914     44.25424    888
5884    44.00451    43.35996    43.9829     888
7072    44.29747    43.40841    44.40716    888
7154    43.89637    43.18723    43.92741    888
7304    43.59787    42.81491    43.78661    888
7351    43.7498     43.03885    -99.0       888
8127    43.01005    -99.0       43.2586     888
8270    44.11394    43.59676    43.96203    888
8488    -99.0       -99.0       -99.0       -99
9019    43.60625    42.95397    43.47096    888
9335    43.7506     43.1371     43.54086    888
9505    44.06203    43.27358    44.1506     888
9740    44.65816    44.08012    44.48525    888
9825    43.51271    42.56773    43.64823    888
10049   42.77876    42.24475    42.55174    888
10259   42.27699    -99.0       42.5793     888
10289   44.37571    43.85928    44.13076    888
10624   45.16923    44.56961    45.04478    888
10700   42.23089    41.71295    41.89529    888
10791   44.38841    43.46204    44.51687    888
11236   41.71715    41.27964    -99.0       111
12016   43.34378    42.58301    -99.0       888
12566   43.02636    42.30546    42.90068    888
12620   42.99315    -99.0       -99.0       888
12820   43.92001    43.38551    43.66773    888
13191   43.48221    42.46876    43.66094    888
13741   43.43979    -99.0       -99.0       888
14134   43.61893    42.48572    43.77737    888
14156   43.79671    42.93728    43.87551    888
14538   43.62526    43.19341    -99.0       888
14644   42.01674    41.38562    41.97688    888
14922   43.40312    42.9076     -99.0       888
15095   44.2192     43.67646    43.96021    888
15522   44.03783    43.40115    -99.0       888
15897   44.36244    43.76234    44.20698    888
16012   41.44495    41.01335    -99.0       111
16263   43.58634    42.98325    43.47793    888
16361   43.01374    42.45565    42.8307     888
16755   43.77514    -99.0       43.76236    888
16815   43.33011    42.60808    43.31098    888
17469   42.26572    41.81087    -99.0       888
18296   42.0394     -99.0       42.22974    888
18340   43.58208    -99.0       -99.0       888
18380   44.1102     43.51515    43.99194    888
18562   41.65593    41.15106    -99.0       111
18568   43.67154    43.18491    -99.0       888
18829   44.36913    43.78155    44.16354    888
19607   42.30555    -99.0       42.46405    888
19645   43.70114    -99.0       43.83101    888
19748   43.83283    43.17781    43.78392    888
19925   43.62195    42.9132     43.62607    888
20034   44.89026    44.30228    44.71478    888
20194   44.0549     -99.0       44.14349    888
20459   42.83325    41.79849    43.01537    888
20619   42.03934    -99.0       42.17167    888
20902   42.82539    42.13214    -99.0       888
21500   -99.0       -99.0       -99.0       -99
21534   -99.0       -99.0       -99.0       -99
22492   42.85547    41.98841    43.00432    888
22653   43.83378    43.30456    43.60045    888
22684   44.22932    43.6067     44.17097    888
22709   44.34202    43.79086    44.14889    888
22757   44.30039    43.68927    -99.0       888
22823   42.54128    -99.0       42.82126    888
23339   41.47494    40.93263    -99.0       111
23392   44.21699    43.56596    -99.0       888
23395   43.35265    42.36822    43.5104     888
23826   43.52589    42.98378    43.21754    888
24046   43.77677    42.77221    43.95337    888
24140   44.25072    43.60538    44.16974    888
24374   43.61513    43.0353     -99.0       888
25212   42.36361    -99.0       -99.0       888
25844   43.6236     42.99208    43.56049    888
26041   43.87107    43.22325    43.76283    888
26253   43.22211    -99.0       -99.0       888
26391   43.20877    42.68499    -99.0       888
27020   43.87566    42.80103    44.09631    888
27448   44.85686    44.31869    44.58487    888
27475   43.00234    -99.0       43.27909    888
28472   42.0242     -99.0       42.26782    888
28604   44.78401    44.10277    44.6901     888
28849   43.36373    42.84957    -99.0       888
28891   43.36927    42.85234    43.04738    888
33996   -99.0       -99.0       -99.0       -99
35781   45.00253    44.42869    -99.0       888
