# General info: CANDELS COSMOS X-ray source / H-band source matches - LR > LRth MATCHES
#
# LR threshold = 2.20
#
# Crossmatch Class Description [Civano et al. (2012)]:
#		1. Secure        - Sources with one counterpart with LR > LRth
#		2. Ambiguous     - Sources with more than one counterpart with LR > LRth
#		3. Substhreshold - Sources with no counterpart with LR > LRth but with a possible
#                                  counterpart with LR < LRth within 5'' 						  
#               4. Unidentified  - (THESE SOURCES NOT INCLUDED HERE) Sources with no counterpart in 
#                                  each given catalog, even below threshold and 5'' from X-ray centroid
#		5. Retrieved     - Not a direct output of the likelihood procedure
#                                  Done with an X-ray contour visual check in cases of missing data
#                                  or subthreshold scenarios
# FlagAGN:
#		1 - AGN
#		0 - Not AGN
#	       -1 - Data unavailable for our method
#		Method: AGN if Full, Soft, or Hard band luminosity is greater than 42
#
# Builders and Contact Info:
#		Dale Kocevski (dale.kocevski@colby.edu)
#		Joshua Young
#
#
#  X_ID    H_ID   hRA            hDEC        xRA           xDEC    Class    LR      xFLUX(Full)  zbest      FullLx        SoftLx        HardLx  FlagAGN
20    3508   150.170471     2.218795   150.170456     2.218800  1    72.685    1.34e-15     1.156      43.72070      43.00085      43.71946   1
40     947   150.199768     2.190847   150.199737     2.190907  1   174.319    4.69e-15     1.720      44.51218      43.97116      44.28631   1
71   15095   150.123688     2.358244   150.123627     2.358299  1   170.624    1.41e-14     0.837      44.21920      43.67646      43.96021   1
72   18380   150.091553     2.399043   150.091537     2.399072  1   132.197    4.37e-15     1.157      44.11020      43.51515      43.99194   1
76   23826   150.130341     2.472122   150.130356     2.472174  1   180.526    2.23e-15     0.926      43.52589      42.98378      43.21754   1
77   24046   150.150238     2.475145   150.150177     2.475207  1   161.621    2.84e-15     0.688      43.77677      42.77221      43.95337   1
78   19748   150.158371     2.415402   150.158218     2.415393  1    51.405    3.74e-15     0.900      43.83283      43.17781      43.78392   1
79   18829   150.173981     2.402963   150.173966     2.402939  1    73.072    1.22e-14     0.979      44.36913      43.78155      44.16354   1
80   20459   150.181427     2.423412   150.181457     2.423563  1     6.867    2.64e-16     0.727      42.83325      41.79849      43.01537   1
81   22684   150.186585     2.455311   150.186585     2.455237  1    12.671    1.65e-15     1.870      44.22932      43.60670      44.17097   1
84    9335   150.084396     2.290487   150.084274     2.290499  1    46.849    1.78e-15     1.170      43.75060      43.13710      43.54086   1
85    9505   150.096497     2.293014   150.096405     2.293039  1    29.991    1.18e-15     1.569      44.06203      43.27358      44.15060   1
86    9740   150.119568     2.295795   150.119446     2.295858  2    34.186    5.39e-15     1.800      44.65816      44.08012      44.48525   1
87   10624   150.133057     2.303242   150.133026     2.303275  1   164.740    2.23e-14     1.598      45.16923      44.56961      45.04478   1
88   10049   150.138001     2.291663   150.137955     2.291700  1   299.126    1.81e-14     0.185      42.77876      42.24475      42.55174   1
108   24140   150.058701     2.477376   150.058579     2.477451  2    63.581    4.39e-15     1.256      44.25072      43.60538      44.16974   1
109   25844   150.059204     2.505263   150.059128     2.505388  1     7.406    1.14e-15     1.224      43.62360      42.99208      43.56049   1
110   22709   150.062149     2.455013   150.062164     2.455058  1   145.549    8.77e-15     1.129      44.34202      43.79086      44.14889   1
111   19925   150.064148     2.417868   150.064133     2.417790  1    62.813    1.23e-15     1.103      43.62195      42.91320      43.62607   1
112   27448   150.102692     2.530281   150.102707     2.530332  1   187.212    2.01e-14     1.319      44.85686      44.31869      44.58487   1
114   27020   150.132340     2.523266   150.132309     2.523272  1    83.330    6.08e-16     1.321      43.87566      42.80103      44.09631   1
121   28604   150.191803     2.543890   150.191727     2.543957  3     1.512    1.95e-15     2.791      44.78401      44.10277      44.69010   1
148   28891   150.103592     2.550765   150.103546     2.550774  1   220.498    4.41e-15     0.620      43.36927      42.85234      43.04738   1
459     865   150.064651     2.190940   150.064529     2.191000  1     9.975    2.44e-15     2.887      44.96544      44.23556      44.99429   1
464    1694   150.100235     2.199876   150.100143     2.200002  1    15.514    9.71e-16     1.260      43.71062      42.95355      43.76842   1
535   16361   150.056564     2.373744   150.056595     2.373773  1    95.630    1.48e-15     0.667      43.01374      42.45565      42.83070   1
653   22653   150.125122     2.455779   150.125046     2.455990  3     2.031    1.70e-15     1.393      43.83378      43.30456      43.60045   1
699      87   150.104218     2.178908   150.104294     2.179038  1     4.348    2.21e-16     1.982      43.77129      42.79554      43.92682   1
708   15897   150.052292     2.369298   150.052277     2.369345  1    21.555    1.11e-15     2.548      44.36244      43.76234      44.20698   1
776   16815   150.203308     2.380110   150.203247     2.380160  1    28.677    4.40e-16     1.258      43.33011      42.60808      43.31098   1
778   10700   150.083008     2.304824   150.082916     2.304906  1    82.059    1.15e-15     0.363      42.23089      41.71295      41.89529   1
780    8270   150.141296     2.278219   150.141357     2.278196  1     3.360    6.90e-16     2.649      44.11394      43.59676      43.96203   1
781   20034   150.100998     2.419410   150.100937     2.419495  1    41.803    9.09e-16     4.660      44.89026      44.30228      44.71478   1
886    9825   150.066040     2.295548   150.065948     2.295544  1    79.513    4.37e-16     1.215      43.51271      42.56773      43.64823   1
887    9019   150.070496     2.286273   150.070389     2.286302  1    45.530    1.04e-15     1.226      43.60625      42.95397      43.47096   1
914    4490   150.180023     2.231274   150.180008     2.231320  1    68.061    2.18e-15     2.146      44.44620      43.87403      44.24654   1
917    3605   150.192642     2.219839   150.192566     2.219909  1    22.571    6.41e-16     3.090      44.38606      43.72605      44.22239   1
945    1667   150.193466     2.199375   150.193466     2.199414  1    19.204    6.66e-16     2.509      44.10390      43.52425      43.92866   1
952   14134   150.200882     2.348319   150.200836     2.348355  1    36.300    4.68e-16     1.095      43.61893      42.48572      43.77737   1
957    4874   150.055984     2.233450   150.055878     2.233526  2    94.524    2.73e-15     0.936      43.72254      43.08316      43.60508   1
958    4477   150.069244     2.231323   150.069138     2.231376  1    28.790    1.95e-15     1.869      44.23375      43.67868      44.00982   1
959   14156   150.073654     2.346819   150.073547     2.346860  2    91.342    2.64e-15     0.828      43.79671      42.93728      43.87551   1
960   10289   150.074615     2.302008   150.074417     2.302068  1    13.583    1.90e-15     2.239      44.37571      43.85928      44.13076   1
961   12820   150.161804     2.332357   150.161743     2.332412  1    78.564    2.95e-15     1.202      43.92001      43.38551      43.66773   1
962   14644   150.187973     2.352921   150.187942     2.352924  1    55.362    1.12e-15     0.265      42.01674      41.38562      41.97688   1
965   10791   150.152191     2.307807   150.152145     2.307818  1     8.436    3.27e-16     3.175      44.38841      43.46204      44.51687   1
966   13191   150.171143     2.337040   150.171066     2.337095  1    43.137    3.18e-16     1.260      43.48221      42.46876      43.66094   1
