#Closest ID 	 RA	 DEC 	 Flux_F_FRAN 	 FLux_S_FRAN 	 Flux_H_FRAN 	 HR_FRAN 
 
 
87        150.1043       2.179038       2.43e-15       2.57e-16       3.47e-15       0.24        
335       150.08437      2.184452       3.63e-15       6.59e-16       4.13e-15       0.04        
865       150.06453      2.191          1.53e-14       2.83e-15       1.62e-14       0.08        
947       150.19974      2.190907       1.9e-14        5.45e-15       1.12e-14       -0.38       
953       150.15079      2.191634       1.96e-15       -2.8e-16       3.34e-15       -99.0       
1606      150.19347      2.199414       2.95e-15       7.73e-16       1.96e-15       -0.4        
1667      150.19347      2.199414       2.95e-15       7.73e-16       1.96e-15       -0.4        
1694      150.10015      2.200002       6.47e-15       1.13e-15       7.36e-15       0.09        
2677      150.05718      2.206066       4.99e-15       7.04e-16       6.32e-15       0.22        
3018      150.10595      2.213171       2.28e-15       5.74e-16       -9.24e-15      -0.34       
3175      150.06682      2.210518       5.6e-15        -1.22e-15      9.640001e-15   0.83        
3186      150.05648      2.208528       2.53e-15       3.98e-16       -1.33e-14      -99.0       
3291      150.17592      2.215654       2.7e-15        6.78e-16       -8.33e-15      -99.0       
3508      150.17046      2.2188         8.18e-15       1.55e-15       8.12e-15       0.02        
3598      150.19256      2.219909       3.41e-15       7.48e-16       2.32e-15       -0.26       
3605      150.19256      2.219909       3.41e-15       7.48e-16       2.32e-15       -0.26       
3618      150.05913      2.219824       9.33e-15       2.71e-15       4.59e-15       -0.48       
3671      150.12014      2.221353       1.45e-15       3.15e-16       -8.09e-15      -0.22       
4025      150.1384       2.224934       2.45e-15       -4.06e-16      -7.75e-15      -99.0       
4051      150.09553      2.220267       2.1e-15        8.12e-16       -5.02e-15      -0.61       
4072      150.1384       2.224934       2.45e-15       -4.06e-16      -7.75e-15      -99.0       
4092      150.13639      2.22531        2.03e-15       -5.38e-16      2e-15          -99.0       
4473      150.09588      2.230974       2.09e-15       4.37e-16       -5.29e-15      -0.31       
4490      150.18001      2.23132        9.48e-15       2.54e-15       5.96e-15       -0.35       
4662      150.05588      2.233526       1.38e-14       3.18e-15       1.05e-14       -0.17       
4685      150.05588      2.233526       1.38e-14       3.18e-15       1.05e-14       -0.17       
4874      150.05588      2.233526       1.38e-14       3.18e-15       1.05e-14       -0.17       
5528      150.10467      2.243818       5.32e-15       5.54e-16       8.029999e-15   0.41        
5687      150.20333      2.246678       1.51e-15       5.75e-16       -5.47e-15      -99.0       
5884      150.18297      2.247965       2.4e-15        5.43e-16       2.27e-15       -0.2        
7072      150.07592      2.264375       3.12e-15       4.03e-16       4.01e-15       0.2         
7154      150.142        2.265187       2.51e-15       4.91e-16       2.68e-15       -0.1        
7198      150.142        2.265187       2.51e-15       4.91e-16       2.68e-15       -0.1        
7210      150.08024      2.266017       3.82e-15       6.27e-16       5.84e-15       0.23        
7304      150.08024      2.266017       3.82e-15       6.27e-16       5.84e-15       0.23        
7351      150.07897      2.266592       2.78e-15       5.4e-16        -4.13e-15      -99.0       
8127      150.13663      2.274336       1.43e-15       -3.09e-16      2.53e-15       -99.0       
8270      150.14136      2.278196       2.65e-15       8.05e-16       1.85e-15       -0.47       
8488      150.08683      2.281544       1.92e-15       6.19e-16       -5.87e-15      -99.0       
9019      150.07039      2.286302       5.43e-15       1.22e-15       3.95e-15       -0.23       
9335      150.08428      2.290499       8.53e-15       2.07e-15       5.23e-15       -0.33       
9458      150.0964       2.293039       8.45e-15       1.37e-15       1.03e-14       0.17        
9505      150.0964       2.293039       8.45e-15       1.37e-15       1.03e-14       0.17        
9740      150.11945      2.295858       2.39e-14       6.26e-15       1.59e-14       -0.3        
9825      150.06595      2.295544       4.49e-15       5.08e-16       6.11e-15       0.32        
9827      150.11945      2.295858       2.39e-14       6.26e-15       1.59e-14       -0.3        
10049     150.13796      2.2917         7.21e-14       2.1e-14        4.26e-14       -0.4        
10289     150.07442      2.302068       7.27e-15       2.21e-15       4.1e-15        -0.46       
10624     150.13303      2.303275       1.03e-13       2.6e-14        7.72e-14       -0.22       
10700     150.08291      2.304906       4.41e-15       1.34e-15       2.02e-15       -0.54       
10718     150.05147      2.305877       5.39e-15       8.81e-16       6.11e-15       0.12        
10791     150.15215      2.307818       3.22e-15       3.8e-16        4.29e-15       0.24        
12016     150.09173      2.321929       2.28e-15       3.96e-16       -1.16e-14      0.13        
12620     150.11123      2.329531       1.25e-15       -3.1e-16       -1.11e-14      -99.0       
12815     150.16175      2.332412       1.18e-14       3.43e-15       6.54e-15       -0.43       
12820     150.16175      2.332412       1.18e-14       3.43e-15       6.54e-15       -0.43       
13191     150.17106      2.337095       3.83e-15       3.7e-16        5.75e-15       0.38        
13989     150.07354      2.34686        2.23e-14       3.06e-15       2.65e-14       0.28        
14134     150.20083      2.348355       7.41e-15       5.45e-16       1.06e-14       0.51        
14156     150.07354      2.34686        2.23e-14       3.06e-15       2.65e-14       0.28        
14538     150.18401      2.353594       2.48e-15       9.189999e-16   -5.87e-15      -99.0       
14644     150.18795      2.352924       5.59e-15       1.31e-15       5.05e-15       -0.16       
14922     150.05588      2.357676       1.04e-15       3.32e-16       -7.78e-15      -0.15       
15095     150.12363      2.358299       5.73e-14       1.64e-14       3.13e-14       -0.41       
15522     150.15032      2.364314       2.34e-15       5.4e-16        -9.42e-15      0.09        
15897     150.05228      2.369345       5.15e-15       1.29e-15       3.59e-15       -0.31       
16012     150.08555      2.36417        8.43e-16       3.11e-16       -6.48e-15      -99.0       
16263     150.06711      2.372429       4.91e-15       1.22e-15       3.8e-15        -0.25       
16361     150.0566       2.373773       6.23e-15       1.72e-15       4.07e-15       -0.35       
16755     150.13315      2.378672       2.42e-15       -1.66e-15      2.33e-15       0.16        
16786     150.20325      2.38016        2.7e-15        5.11e-16       2.57e-15       -0.12       
16815     150.20325      2.38016        2.7e-15        5.11e-16       2.57e-15       -0.12       
17469     150.0581       2.380434       5.32e-15       1.86e-15       -4.56e-15      -99.0       
18296     150.07989      2.390045       3.03e-15       -1.39e-15      4.65e-15       0.27        
18302     150.09154      2.399072       2.01e-14       5.08e-15       1.52e-14       -0.22       
18340     150.08594      2.399061       1.44e-15       -1.96e-15      -1.88e-15      -0.28       
18362     150.09154      2.399072       2.01e-14       5.08e-15       1.52e-14       -0.22       
18380     150.09154      2.399072       2.01e-14       5.08e-15       1.52e-14       -0.22       
18542     150.16309      2.40217        1.56e-15       5.08e-16       -7.05e-15      -99.0       
18568     150.16309      2.40217        1.56e-15       5.08e-16       -7.05e-15      -99.0       
18829     150.17396      2.402939       5.5e-14        1.42e-14       3.4e-14        -0.32       
19511     150.15363      2.399451       9.18e-16       3.94e-16       -2.4e-15       -99.0       
19607     150.06869      2.412499       9.78e-16       -3.24e-16      1.4e-15        -99.0       
19645     150.07137      2.414539       2.04e-15       -8.43e-16      2.73e-15       -99.0       
19672     150.06869      2.412499       9.78e-16       -3.24e-16      1.4e-15        -99.0       
19748     150.15822      2.415393       1.96e-14       4.34e-15       1.75e-14       -0.09       
19925     150.06414      2.41779        7.33e-15       1.43e-15       7.36e-15       0.0         
20034     150.10093      2.419495       4.1e-15        1.06e-15       2.72e-15       -0.36       
20194     150.06351      2.421804       1.6e-15        -1.1e-15       1.95e-15       -99.0       
20459     150.18146      2.423563       3.33e-15       3.07e-16       5.05e-15       0.38        
20619     150.09493      2.425156       2.72e-15       -9.51e-16      3.65e-15       0.39        
20902     150.07654      2.428255       3.08e-15       6.22e-16       -1.02e-14      -0.24       
21500     150.13042      2.439259       3.41e-15       -1.1e-15       5.17e-15       0.39        
21534     150.15402      2.43724        5.53e-15       2.08e-15       -8.27e-15      -99.0       
22492     150.05564      2.449316       3.44e-15       4.68e-16       4.83e-15       0.23        
22653     150.12505      2.45599        6.69e-15       1.98e-15       3.89e-15       -0.44       
22684     150.18659      2.455237       8.07e-15       1.92e-15       7.02e-15       -0.16       
22709     150.06217      2.455058       3.63e-14       1.02e-14       2.32e-14       -0.35       
22757     150.13372      2.457497       2.59e-15       6.34e-16       -9.79e-15      -99.0       
23339     150.11889      2.45717        1.87e-15       5.34e-16       -5.17e-15      -99.0       
23392     150.11748      2.463696       3.34e-15       7.48e-16       -1.11e-14      -0.18       
23395     150.1384       2.466687       1.6e-15        1.65e-16       2.29e-15       0.19        
23433     150.1384       2.466687       1.6e-15        1.65e-16       2.29e-15       0.19        
23826     150.13036      2.472174       9.04e-15       2.6e-15        4.41e-15       -0.47       
24046     150.15018      2.475207       3.34e-14       3.3e-15        4.99e-14       0.52        
24140     150.05858      2.477451       2.26e-14       5.11e-15       1.86e-14       -0.13       
24374     150.19613      2.481809       2.31e-15       6.06e-16       -6.51e-15      -0.65       
25212     150.15687      2.49704        1.38e-15       -6.16e-16      -9.33e-15      0.3         
25844     150.05913      2.505388       5.68e-15       1.32e-15       4.89e-15       -0.17       
25867     150.05913      2.505388       5.68e-15       1.32e-15       4.89e-15       -0.17       
25918     150.09347      2.507207       2.37e-15       5.34e-16       1.85e-15       -0.31       
26041     150.09347      2.507207       2.37e-15       5.34e-16       1.85e-15       -0.31       
26253     150.07696      2.51078        2.17e-15       -9.7e-16       -1.23e-14      0.41        
26391     150.195611     2.511579       4.98e-15       9.59e-16       2.39e-15       -0.17       
27020     150.132379     2.523345       1.71e-14       1.37e-15       2.59e-14       0.66        
27137     150.132379     2.523345       1.71e-14       1.37e-15       2.59e-14       0.66        
27157     150.121913     2.525845       3.99e-15       1.01e-15       3.63e-15       -99.0       
27448     150.102614     2.530394       9.86e-14       3.02e-14       5.47e-14       -0.43       
27475     150.138429     2.529403       3.05e-15       -5.54e-16      4.67e-15       -99.0       
28472     150.10438      2.546988       1.22e-15       -4.35e-16      2.13e-15       -99.0       
28604     150.19174      2.543933       9.9e-15        2.65e-15       6.92e-15       -0.25       
28891     150.103616     2.550833       1.39e-14       4.3e-15        6.56e-15       -0.43       
36475     150.12505      2.45599        6.69e-15       1.98e-15       3.89e-15       -0.44       
