#  RA_x                DEC_x         flux_F         flux_S         flux_H             HR
                                                                                                                                                                                     
  1.496395599794E+002  1.991033891300E+000  1.180000E-015 -3.940000E-016 -1.120000E-014 -9.900000E+001
  1.503410099829E+002  2.367166793400E+000  1.430000E-014  3.670000E-015  9.880000E-015 -2.700000E-001
  1.496757400112E+002  2.010529302900E+000  6.850000E-015  2.050000E-015 -1.320000E-014 -9.900000E+001
  1.496863800046E+002  2.047209295400E+000  3.610000E-015  1.310000E-015 -4.890000E-015 -7.700000E-001
  1.497165600153E+002  2.007914303200E+000  2.680000E-015  5.200000E-016  2.870000E-015 -7.000000E-002
  1.496630812440E+002  2.013040598510E+000  4.680000E-015  5.250000E-016  6.230000E-015  5.400000E-001
  1.496711747220E+002  2.057623373880E+000  5.200000E-015  4.570000E-016  7.420000E-015  6.700000E-001
  1.496726599615E+002  2.005768803000E+000  1.240000E-015  3.330000E-016 -4.650000E-015 -9.900000E+001
  1.496763200068E+002  2.012525813500E+000  4.190000E-015  9.130000E-016  3.440000E-015 -1.900000E-001
  1.496900099577E+002  2.039144298600E+000  1.620000E-015 -7.990000E-016  2.750000E-015  1.800000E-001
  1.497089899885E+002  2.089304909300E+000  4.410000E-015  4.810000E-016  4.260000E-015  1.700000E-001
  1.496543831470E+002  1.959832666570E+000  3.290000E-015  9.550000E-016  2.680000E-015 -2.800000E-001
  1.503417999770E+002  2.392768593900E+000  1.120000E-014  2.730000E-015  7.570000E-015 -2.700000E-001
  1.496719604100E+002  1.941525860820E+000  1.030000E-014  1.830000E-015  1.230000E-014  1.900000E-001
  1.498145999862E+002  1.967398796500E+000  3.780000E-015  1.090000E-015  1.290000E-015 -9.900000E+001
  1.498182899898E+002  2.053154706300E+000  1.840000E-014  4.290000E-015  1.490000E-014 -1.500000E-001
  1.497542599596E+002  1.997084094700E+000  2.510000E-015 -1.010000E-015  3.860000E-015  5.600000E-001
